#parameter	value	run
D	1e-05	0
beta	2	0
alpha	0.0	0
Nh	10000000000	0
M	5	0
cutoff	1	0
D	1e-05	1
beta	4	1
alpha	0.0	1
Nh	10000000000	1
M	5	1
cutoff	1	1
D	5e-06	2
beta	2	2
alpha	0.0	2
Nh	10000000000	2
M	5	2
cutoff	1	2
D	5e-06	3
beta	4	3
alpha	0.0	3
Nh	10000000000	3
M	5	3
cutoff	1	3
D	1e-05	4
beta	2	4
alpha	0.0	4
Nh	10000000000	4
M	5	4
cutoff	1	4
D	1e-05	5
beta	4	5
alpha	0.0	5
Nh	10000000000	5
M	5	5
cutoff	1	5
D	5e-06	6
beta	2	6
alpha	0.0	6
Nh	10000000000	6
M	5	6
cutoff	1	6
D	5e-06	7
beta	4	7
alpha	0.0	7
Nh	10000000000	7
M	5	7
cutoff	1	7
D	1e-05	8
beta	2	8
alpha	0.0	8
Nh	10000000000	8
M	5	8
cutoff	1	8
D	1e-05	9
beta	4	9
alpha	0.0	9
Nh	10000000000	9
M	5	9
cutoff	1	9
D	5e-06	10
beta	2	10
alpha	0.0	10
Nh	10000000000	10
M	5	10
cutoff	1	10
D	5e-06	11
beta	4	11
alpha	0.0	11
Nh	10000000000	11
M	5	11
cutoff	1	11
D	1e-05	12
beta	2	12
alpha	0.0	12
Nh	10000000000	12
M	5	12
cutoff	1	12
D	1e-05	13
beta	4	13
alpha	0.0	13
Nh	10000000000	13
M	5	13
cutoff	1	13
D	5e-06	14
beta	2	14
alpha	0.0	14
Nh	10000000000	14
M	5	14
cutoff	1	14
D	5e-06	15
beta	4	15
alpha	0.0	15
Nh	10000000000	15
M	5	15
cutoff	1	15
D	1e-05	16
beta	2	16
alpha	0.0	16
Nh	10000000000	16
M	5	16
cutoff	1	16
D	1e-05	17
beta	4	17
alpha	0.0	17
Nh	10000000000	17
M	5	17
cutoff	1	17
D	5e-06	18
beta	2	18
alpha	0.0	18
Nh	10000000000	18
M	5	18
cutoff	1	18
D	5e-06	19
beta	4	19
alpha	0.0	19
Nh	10000000000	19
M	5	19
cutoff	1	19
D	1e-05	20
beta	2	20
alpha	0.0	20
Nh	10000000000	20
M	5	20
cutoff	1	20
D	1e-05	21
beta	4	21
alpha	0.0	21
Nh	10000000000	21
M	5	21
cutoff	1	21
D	5e-06	22
beta	2	22
alpha	0.0	22
Nh	10000000000	22
M	5	22
cutoff	1	22
D	5e-06	23
beta	4	23
alpha	0.0	23
Nh	10000000000	23
M	5	23
cutoff	1	23
D	1e-05	24
beta	2	24
alpha	0.0	24
Nh	10000000000	24
M	5	24
cutoff	1	24
D	1e-05	25
beta	4	25
alpha	0.0	25
Nh	10000000000	25
M	5	25
cutoff	1	25
D	5e-06	26
beta	2	26
alpha	0.0	26
Nh	10000000000	26
M	5	26
cutoff	1	26
D	5e-06	27
beta	4	27
alpha	0.0	27
Nh	10000000000	27
M	5	27
cutoff	1	27
D	1e-05	28
beta	2	28
alpha	0.0	28
Nh	10000000000	28
M	5	28
cutoff	1	28
D	1e-05	29
beta	4	29
alpha	0.0	29
Nh	10000000000	29
M	5	29
cutoff	1	29
D	5e-06	30
beta	2	30
alpha	0.0	30
Nh	10000000000	30
M	5	30
cutoff	1	30
D	5e-06	31
beta	4	31
alpha	0.0	31
Nh	10000000000	31
M	5	31
cutoff	1	31
D	1e-05	32
beta	2	32
alpha	0.0	32
Nh	10000000000	32
M	5	32
cutoff	1	32
D	1e-05	33
beta	4	33
alpha	0.0	33
Nh	10000000000	33
M	5	33
cutoff	1	33
D	5e-06	34
beta	2	34
alpha	0.0	34
Nh	10000000000	34
M	5	34
cutoff	1	34
D	5e-06	35
beta	4	35
alpha	0.0	35
Nh	10000000000	35
M	5	35
cutoff	1	35
D	1e-05	36
beta	2	36
alpha	0.0	36
Nh	10000000000	36
M	5	36
cutoff	1	36
D	1e-05	37
beta	4	37
alpha	0.0	37
Nh	10000000000	37
M	5	37
cutoff	1	37
D	5e-06	38
beta	2	38
alpha	0.0	38
Nh	10000000000	38
M	5	38
cutoff	1	38
D	5e-06	39
beta	4	39
alpha	0.0	39
Nh	10000000000	39
M	5	39
cutoff	1	39
