#r0	speed	F_T	s_T
0.007500000000000001	[0.00628304 0.00626958]	[0.99999431 0.99988298]	[0.00077439 0.0111916 ]	
0.011177501691656905	[0.00624264 0.00619182]	[0.99885727 0.99409036]	[0.07755242 0.28439554]	
0.01665820587559906	[0.00610359 0.00595392]	[0.98022245 0.94935791]	[0.67374136 1.21627254]	
0.024826283247263665	[0.00574275 0.00545521]	[0.89816255 0.82429807]	[1.71736983 2.0688704 ]	
0.036999443065845745	[0.00511779 0.00473342]	[0.73540064 0.63718455]	[2.16588413 2.05619517]	
0.055141511661180545	[0.00433696 0.00392082]	[0.53818177 0.44615392]	[1.80935384 1.50113516]	
0.0821792453164486	[0.00352691 0.00315359]	[0.36363839 0.29256667]	[1.19321299 0.92018827]	
0.12247448713915891	[0.00280823 0.00249907]	[0.23333423 0.18482807]	[0.69365657 0.5143078 ]	
0.18252783829103475	[0.00220679 0.00194759]	[0.14556351 0.11415804]	[0.37725928 0.2742941 ]	
0.27202736283633583	[0.0017188 0.0014838]	[0.08922704 0.06997228]	[0.19823556 0.14261876]	
0.40541150777068136	[0. 0.]	[0. 0.]	[0. 0.]	
0.6041983751898622	[0. 0.]	[0. 0.]	[0. 0.]	
0.900457114770805	[0. 0.]	[0. 0.]	[0. 0.]	
1.3419814564820225	[0. 0.]	[0. 0.]	[0. 0.]	
2.0	[0. 0.]	[0. 0.]	[0. 0.]	
